Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
StateProgressBar-master,com.kofigyan.stateprogressbarsample,ApplicationTest,ApplicationTest,3,1,0,10
StateProgressBar-master,com.kofigyan.stateprogressbarsample,AllStatesCompletedActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,AnimationFourStatesActivity,onCreate,4,1,1,14
StateProgressBar-master,com.kofigyan.stateprogressbarsample,AnimationFourStatesActivity,onCreateOptionsMenu,5,1,1,21
StateProgressBar-master,com.kofigyan.stateprogressbarsample,AnimationFourStatesActivity,onOptionsItemSelected,13,4,1,31
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,setContentView,4,1,1,21
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onCreateOptionsMenu,4,1,1,28
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,36,12,1,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseDescriptionActivity,setContentView,4,1,1,21
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseDescriptionActivity,onCreateOptionsMenu,5,1,1,37
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseDescriptionActivity,onOptionsItemSelected,16,4,1,45
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicFiveDescendingStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicFiveStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicFourDescendingStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicFourStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicThreeDescendingStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicThreeStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicTwoDescendingStatesActivity,onCreate,4,1,1,12
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BasicTwoStatesActivity,onCreate,4,1,1,12
StateProgressBar-master,com.kofigyan.stateprogressbarsample,ChangingStatesSizeActivity,onCreate,6,1,1,15
StateProgressBar-master,com.kofigyan.stateprogressbarsample,CheckFourStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,ColoringStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,DescriptionFourStatesActivity,onCreate,4,1,1,11
StateProgressBar-master,com.kofigyan.stateprogressbarsample,ListBaseActivity,setContentView,4,1,1,21
StateProgressBar-master,com.kofigyan.stateprogressbarsample,ListBaseActivity,injectCommonViews,9,1,0,28
StateProgressBar-master,com.kofigyan.stateprogressbarsample,ListBaseActivity,onCreateOptionsMenu,4,1,1,42
StateProgressBar-master,com.kofigyan.stateprogressbarsample,ListBaseActivity,onOptionsItemSelected,17,3,1,48
StateProgressBar-master,com.kofigyan.stateprogressbarsample,MainActivity,onCreate,7,1,1,14
StateProgressBar-master,com.kofigyan.stateprogressbarsample,MainActivity,getApiFeatures,10,2,0,26
StateProgressBar-master,com.kofigyan.stateprogressbarsample,StatesListActivity,onCreate,9,1,1,23
StateProgressBar-master,com.kofigyan.stateprogressbarsample,StatesListActivity,getItems,10,2,0,41
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageAmenitiesActivity,onCreate,6,1,1,16
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageAmenitiesActivity,onClick,11,3,1,27
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageBaseActivity,setContentView,4,1,1,21
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageBaseActivity,injectCommonViews,6,1,0,28
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageBaseActivity,injectBackView,4,1,0,36
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageCompleteActivity,onCreate,7,1,1,14
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageCompleteActivity,onClick,3,1,1,25
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,onCreate,6,1,1,18
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,onClick,4,1,1,29
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,onUserDetailClickListener,16,5,1,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,setupUserDetailsView,6,1,0,54
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,setupUserDetailsView,4,1,1,61
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsagePricingActivity,onCreate,6,1,1,16
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsagePricingActivity,onClick,11,3,1,27
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageStatusActivity,onCreate,7,1,1,16
StateProgressBar-master,com.kofigyan.stateprogressbarsample,UsageStatusActivity,onClick,11,3,1,29
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,ApiFeatureAdapter,4,1,2,28
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,ItemViewHolder,7,1,2,39
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,onClick,3,1,1,47
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,onItemClick,0,1,2,53
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,getItemCount,3,1,0,58
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,onCreateViewHolder,12,1,2,63
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,onItemClick,5,1,2,67
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,onBindViewHolder,4,1,2,79
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ApiFeatureAdapter,onAttachedToRecyclerView,3,1,1,85
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemViewHolder,ItemViewHolder,7,1,2,39
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemViewHolder,onClick,3,1,1,47
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemViewHolder,onItemClick,0,1,2,53
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemClickListener,onItemClick,0,1,2,53
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,StatesListAdapter,4,1,2,30
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,StatesListAdapter,5,1,3,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,ItemViewHolder,6,1,2,46
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onClick,3,1,1,53
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onItemClick,0,1,2,59
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,getItemCount,3,1,0,64
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onCreateViewHolder,23,3,2,69
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onItemClick,16,3,2,73
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onBindViewHolder,3,1,2,98
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onAttachedToRecyclerView,3,1,1,103
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemViewHolder,ItemViewHolder,6,1,2,46
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemViewHolder,onClick,3,1,1,53
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemViewHolder,onItemClick,0,1,2,59
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,ItemClickListener,onItemClick,0,1,2,59
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,ContentHeaderView,ContentHeaderView,4,1,1,23
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,ContentHeaderView,ContentHeaderView,4,1,2,28
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,ContentHeaderView,ContentHeaderView,4,1,3,33
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,ContentHeaderView,init,13,2,3,38
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,ContentHeaderView,setHeaderTitle,3,1,1,60
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,ContentHeaderView,setHeaderImage,3,1,1,64
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,DividerItemDecoration,DividerItemDecoration,6,1,2,31
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,DividerItemDecoration,setOrientation,6,2,1,38
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,DividerItemDecoration,onDrawOver,8,2,3,45
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,DividerItemDecoration,drawVertical,13,2,2,54
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,DividerItemDecoration,drawHorizontal,13,2,2,70
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,DividerItemDecoration,getItemOffsets,8,2,4,86
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,SquareLinearLayout,SquareLinearLayout,3,1,1,12
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,SquareLinearLayout,SquareLinearLayout,3,1,2,16
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,SquareLinearLayout,SquareLinearLayout,3,1,3,20
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,SquareLinearLayout,onMeasure,5,1,2,24
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,UserDetailsView,4,1,1,22
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,UserDetailsView,4,1,2,27
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,UserDetailsView,4,1,3,32
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,init,13,2,3,38
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,setDetailLabel,3,1,1,60
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,setDetailValue,3,1,1,64
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,onClick,5,2,1,68
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,setOnUserDetailClickListener,3,1,1,75
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,setOnClickListener,2,1,1,79
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,onUserDetailClickListener,0,1,1,85
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,UserDetailsView,onAttachedToWindow,4,1,0,89
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.custom,OnUserDetailClickListener,onUserDetailClickListener,0,1,1,85
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.pojo,ApiFeature,ApiFeature,2,1,0,12
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.pojo,ApiFeature,ApiFeature,4,1,2,15
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.pojo,ApiFeature,getTitle,3,1,0,20
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.pojo,ApiFeature,setTitle,3,1,1,24
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.pojo,ApiFeature,getDescription,3,1,0,28
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.pojo,ApiFeature,setDescription,3,1,1,32
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.utils,Utils,selectActivity,4,1,2,33
StateProgressBar-master,com.kofigyan.stateprogressbar,ApplicationTest,ApplicationTest,3,1,0,10
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,StateNumber,3,1,1,39
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,getValue,3,1,0,43
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,StateProgressBar,3,1,1,199
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,StateProgressBar,3,1,2,203
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,StateProgressBar,6,1,3,207
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,42,3,3,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,initializePainters,9,1,0,284
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,setStateNumberTypeface,6,1,1,300
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,getStateNumberTypeface,3,1,0,309
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,setStateDescriptionTypeface,6,1,1,314
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,getStateDescriptionTypeface,3,1,1,322
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,validateLineThickness,6,2,1,327
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,validateStateSize,5,2,0,335
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,setBackgroundColor,5,1,1,341
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,getBackgroundColor,3,1,0,347
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,setForegroundColor,5,1,1,351
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,getForegroundColor,3,1,0,357
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,setStateLineThickness,4,1,1,361
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,resolveStateLineThickness,6,1,0,366
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,getStateLineThickness,3,1,0,373
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,setStateNumberBackgroundColor,5,1,1,377
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,getStateNumberBackgroundColor,3,1,0,383
